respondent_id,has_seen_any_star_wars_film,has_seen_any_star_wars_film_binary,is_star_wars_fan,is_star_wars_fan_binary,fan_segment,total_movies_seen,movie_consumption_segment,has_complete_movie_ranking,which_character_shot_first,is_familiar_with_expanded_universe,is_familiar_with_expanded_universe_binary,is_expanded_universe_fan,is_expanded_universe_fan_binary,is_star_trek_fan,is_star_trek_fan_binary,gender,age,household_income,education,location_census_region,has_demographic_info,average_character_opinion_score,audience_type,audience_type_order
3291391033.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,30-44,"$25,000 - $49,999",some college or associate degree,south atlantic,1,,Territorio neutral,4
3291390734.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,30-44,"$50,000 - $99,999",some college or associate degree,new england,1,,Territorio neutral,4
3291388906.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,> 60,,high school degree,mountain,1,,Territorio neutral,4
3291388180.0,yes,1,no,0.0,not_fan,4,medium_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,> 60,"$50,000 - $99,999",some college or associate degree,middle atlantic,1,1.2142857142857142,Explorador casual,3
3291380973.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,female,> 60,"$25,000 - $49,999",bachelor degree,middle atlantic,1,0.9,Explorador casual,3
3291378572.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,> 60,"$50,000 - $99,999",bachelor degree,middle atlantic,1,1.2857142857142858,Explorador casual,3
3291375306.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,30-44,"$25,000 - $49,999",some college or associate degree,south atlantic,1,-1.1428571428571428,Explorador casual,3
3291364062.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,45-60,,some college or associate degree,south atlantic,1,1.5,Jedi fiel,1
3291345427.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,female,> 60,"$100,000 - $149,999",graduate degree,east north central,1,1.0714285714285714,Jedi fiel,1
3291341186.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,,Territorio neutral,4
3291330710.0,yes,1,no,0.0,not_fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,30-44,"$0 - $24,999",some college or associate degree,east north central,1,0.9285714285714286,Explorador casual,3
